node_id,true_label,pred_label,confidence,neighbor_class_hist,top_incoming_attention_edges
1708,3,2,0.24689097702503204,"{""0"": 2, ""2"": 2, ""3"": 3}","[{""src_node"": 1358, ""src_label"": 2, ""attention"": 0.17189551889896393}, {""src_node"": 2313, ""src_label"": 2, ""attention"": 0.15926827490329742}, {""src_node"": 873, ""src_label"": 0, ""attention"": 0.13536599278450012}, {""src_node"": 1857, ""src_label"": 3, ""attention"": 0.13486731052398682}, {""src_node"": 1708, ""src_label"": 3, ""attention"": 0.13341212272644043}]"
1735,1,2,0.6030673980712891,"{""1"": 3, ""2"": 6}","[{""src_node"": 562, ""src_label"": 2, ""attention"": 0.15158702433109283}, {""src_node"": 1358, ""src_label"": 2, ""attention"": 0.12363657355308533}, {""src_node"": 1483, ""src_label"": 2, ""attention"": 0.10958093404769897}, {""src_node"": 969, ""src_label"": 2, ""attention"": 0.10903032124042511}, {""src_node"": 2324, ""src_label"": 1, ""attention"": 0.1060868501663208}]"
1741,3,0,0.33040809631347656,"{""0"": 1, ""2"": 1, ""3"": 2, ""5"": 1}","[{""src_node"": 1358, ""src_label"": 2, ""attention"": 0.24161314964294434}, {""src_node"": 1309, ""src_label"": 5, ""attention"": 0.19468870759010315}, {""src_node"": 88, ""src_label"": 0, ""attention"": 0.1902979016304016}, {""src_node"": 1741, ""src_label"": 3, ""attention"": 0.18910396099090576}, {""src_node"": 2593, ""src_label"": 3, ""attention"": 0.18429628014564514}]"
1764,5,2,0.9209097623825073,"{""2"": 1, ""5"": 2}","[{""src_node"": 1358, ""src_label"": 2, ""attention"": 0.3801211416721344}, {""src_node"": 628, ""src_label"": 5, ""attention"": 0.3172416687011719}, {""src_node"": 1764, ""src_label"": 5, ""attention"": 0.30263715982437134}]"
1774,4,1,0.9256226420402527,"{""1"": 1, ""4"": 1}","[{""src_node"": 1623, ""src_label"": 1, ""attention"": 0.5333170890808105}, {""src_node"": 1774, ""src_label"": 4, ""attention"": 0.46668294072151184}]"
1792,3,6,0.38675886392593384,"{""1"": 1, ""3"": 1, ""5"": 1}","[{""src_node"": 581, ""src_label"": 1, ""attention"": 0.33617666363716125}, {""src_node"": 2485, ""src_label"": 5, ""attention"": 0.3326384425163269}, {""src_node"": 1792, ""src_label"": 3, ""attention"": 0.33118489384651184}]"
1793,4,5,0.28342917561531067,"{""4"": 2}","[{""src_node"": 798, ""src_label"": 4, ""attention"": 0.5053090453147888}, {""src_node"": 1793, ""src_label"": 4, ""attention"": 0.4946909248828888}]"
1799,3,1,0.3437625467777252,"{""1"": 1, ""2"": 1, ""3"": 3}","[{""src_node"": 306, ""src_label"": 1, ""attention"": 0.20696556568145752}, {""src_node"": 1799, ""src_label"": 3, ""attention"": 0.2035735845565796}, {""src_node"": 1465, ""src_label"": 3, ""attention"": 0.19992098212242126}, {""src_node"": 1072, ""src_label"": 2, ""attention"": 0.19722552597522736}, {""src_node"": 1701, ""src_label"": 3, ""attention"": 0.19231435656547546}]"
1800,1,0,0.290384978055954,"{""0"": 1, ""1"": 2, ""2"": 1}","[{""src_node"": 476, ""src_label"": 1, ""attention"": 0.2615141272544861}, {""src_node"": 1800, ""src_label"": 1, ""attention"": 0.25260162353515625}, {""src_node"": 1072, ""src_label"": 2, ""attention"": 0.246479332447052}, {""src_node"": 852, ""src_label"": 0, ""attention"": 0.23940494656562805}]"
1801,0,1,0.3964380919933319,"{""0"": 2, ""1"": 1, ""2"": 3}","[{""src_node"": 1505, ""src_label"": 1, ""attention"": 0.18917515873908997}, {""src_node"": 2451, ""src_label"": 2, ""attention"": 0.17042005062103271}, {""src_node"": 2203, ""src_label"": 0, ""attention"": 0.16381680965423584}, {""src_node"": 1801, ""src_label"": 0, ""attention"": 0.16220210492610931}, {""src_node"": 1072, ""src_label"": 2, ""attention"": 0.15802568197250366}]"
1802,3,1,0.7774748206138611,"{""1"": 2, ""2"": 1, ""3"": 1}","[{""src_node"": 2079, ""src_label"": 1, ""attention"": 0.262031614780426}, {""src_node"": 306, ""src_label"": 1, ""attention"": 0.25223296880722046}, {""src_node"": 1802, ""src_label"": 3, ""attention"": 0.24524754285812378}, {""src_node"": 1072, ""src_label"": 2, ""attention"": 0.24048787355422974}]"
1803,0,6,0.7023178339004517,"{""0"": 3, ""2"": 1, ""6"": 1}","[{""src_node"": 659, ""src_label"": 0, ""attention"": 0.20741325616836548}, {""src_node"": 1072, ""src_label"": 2, ""attention"": 0.19983923435211182}, {""src_node"": 354, ""src_label"": 0, ""attention"": 0.19943493604660034}, {""src_node"": 1803, ""src_label"": 0, ""attention"": 0.19760280847549438}, {""src_node"": 77, ""src_label"": 6, ""attention"": 0.19570976495742798}]"
